match_id,utc_date,status,stage,group,matchday,home_team,away_team,winner,duration,home_score_full_time,away_score_full_time,last_updated
537362,2026-06-25 23:00:00+00:00,TIMED,GROUP_STAGE,GROUP_F,3.0,Japan,Sweden,,REGULAR,,,2026-06-10 10:20:19+00:00
537349,2026-06-26 02:00:00+00:00,TIMED,GROUP_STAGE,GROUP_D,3.0,Turkey,United States,,REGULAR,,,2026-06-10 10:20:19+00:00
537350,2026-06-26 02:00:00+00:00,TIMED,GROUP_STAGE,GROUP_D,3.0,Paraguay,Australia,,REGULAR,,,2026-06-10 10:20:19+00:00
537395,2026-06-26 19:00:00+00:00,TIMED,GROUP_STAGE,GROUP_I,3.0,Norway,France,,REGULAR,,,2026-06-10 10:20:19+00:00
537396,2026-06-26 19:00:00+00:00,TIMED,GROUP_STAGE,GROUP_I,3.0,Senegal,Iraq,,REGULAR,,,2026-06-10 10:20:19+00:00
537373,2026-06-27 00:00:00+00:00,TIMED,GROUP_STAGE,GROUP_H,3.0,Uruguay,Spain,,REGULAR,,,2026-06-10 10:20:19+00:00
537374,2026-06-27 00:00:00+00:00,TIMED,GROUP_STAGE,GROUP_H,3.0,Cape Verde Islands,Saudi Arabia,,REGULAR,,,2026-06-10 10:20:20+00:00
537367,2026-06-27 03:00:00+00:00,TIMED,GROUP_STAGE,GROUP_G,3.0,New Zealand,Belgium,,REGULAR,,,2026-06-10 10:20:20+00:00
537368,2026-06-27 03:00:00+00:00,TIMED,GROUP_STAGE,GROUP_G,3.0,Egypt,Iran,,REGULAR,,,2026-06-10 10:20:20+00:00
537413,2026-06-27 21:00:00+00:00,TIMED,GROUP_STAGE,GROUP_L,3.0,Panama,England,,REGULAR,,,2026-06-10 10:20:20+00:00
537414,2026-06-27 21:00:00+00:00,TIMED,GROUP_STAGE,GROUP_L,3.0,Croatia,Ghana,,REGULAR,,,2026-06-10 10:20:20+00:00
537407,2026-06-27 23:30:00+00:00,TIMED,GROUP_STAGE,GROUP_K,3.0,Colombia,Portugal,,REGULAR,,,2026-06-10 10:20:20+00:00
537408,2026-06-27 23:30:00+00:00,TIMED,GROUP_STAGE,GROUP_K,3.0,Congo DR,Uzbekistan,,REGULAR,,,2026-06-10 10:20:20+00:00
537401,2026-06-28 02:00:00+00:00,TIMED,GROUP_STAGE,GROUP_J,3.0,Jordan,Argentina,,REGULAR,,,2026-06-10 10:20:20+00:00
537402,2026-06-28 02:00:00+00:00,TIMED,GROUP_STAGE,GROUP_J,3.0,Algeria,Austria,,REGULAR,,,2026-06-10 10:20:20+00:00
537417,2026-06-28 19:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537423,2026-06-29 17:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537415,2026-06-29 20:30:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537418,2026-06-30 01:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537424,2026-06-30 17:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537416,2026-06-30 21:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537425,2026-07-01 01:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537426,2026-07-01 16:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537422,2026-07-01 20:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537421,2026-07-02 00:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537420,2026-07-02 19:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537419,2026-07-02 23:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537429,2026-07-03 03:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537428,2026-07-03 18:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537427,2026-07-03 22:00:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537430,2026-07-04 01:30:00+00:00,TIMED,LAST_32,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537376,2026-07-04 17:00:00+00:00,TIMED,LAST_16,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537375,2026-07-04 21:00:00+00:00,TIMED,LAST_16,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537377,2026-07-05 20:00:00+00:00,TIMED,LAST_16,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537378,2026-07-06 00:00:00+00:00,TIMED,LAST_16,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537379,2026-07-06 19:00:00+00:00,TIMED,LAST_16,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537380,2026-07-07 00:00:00+00:00,TIMED,LAST_16,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537381,2026-07-07 16:00:00+00:00,TIMED,LAST_16,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537382,2026-07-07 20:00:00+00:00,TIMED,LAST_16,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537383,2026-07-09 20:00:00+00:00,TIMED,QUARTER_FINALS,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537384,2026-07-10 19:00:00+00:00,TIMED,QUARTER_FINALS,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537385,2026-07-11 21:00:00+00:00,TIMED,QUARTER_FINALS,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537386,2026-07-12 01:00:00+00:00,TIMED,QUARTER_FINALS,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537387,2026-07-14 19:00:00+00:00,TIMED,SEMI_FINALS,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537388,2026-07-15 19:00:00+00:00,TIMED,SEMI_FINALS,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537389,2026-07-18 21:00:00+00:00,TIMED,THIRD_PLACE,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
537390,2026-07-19 19:00:00+00:00,TIMED,FINAL,,,,,,REGULAR,,,2026-06-10 10:20:20+00:00
